Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,tissue_s,Cell Line,source_name_s,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,sample_group_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSample_s,Experiment_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,Sample_Name_s,AvgSpotLen_l,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,LoadDate_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,,,iPSCs,3-dimensional neuronal aggregates that resemble a first trimester telencephalon,iPSC-derived neuronal aggregates,neuronal aggregates (day 50) derived from induced pluripotent stem cells,Cerebral cortex,,,,,Control,37C control,,,,,,,,,,,,,SAMN02486491,SRX399546,5927,4343,SRR1061341,SRS519980,GSM1298379,202,PRJNA232603,GEO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2013-12-26,ILLUMINA,2014-06-02,SRP034737
RNA-Seq,Homo sapiens,,,,,,,iPSCs,3-dimensional neuronal aggregates that resemble a first trimester telencephalon,iPSC-derived neuronal aggregates,neuronal aggregates (day 50) derived from induced pluripotent stem cells,Cerebral cortex,,,,,Control,37C control,,,,,,,,,,,,,SAMN02486494,SRX399547,5956,4357,SRR1061342,SRS519981,GSM1298380,202,PRJNA232603,GEO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2013-12-26,ILLUMINA,2014-06-02,SRP034737
RNA-Seq,Homo sapiens,,,,,,,iPSCs,3-dimensional neuronal aggregates that resemble a first trimester telencephalon,iPSC-derived neuronal aggregates,neuronal aggregates (day 50) derived from induced pluripotent stem cells,Cerebral cortex,,,,,Control,39C for 24 hrs,,,,,,,,,,,,,SAMN02486493,SRX399548,6249,4564,SRR1061343,SRS519982,GSM1298381,202,PRJNA232603,GEO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2013-12-26,ILLUMINA,2014-06-02,SRP034737
RNA-Seq,Homo sapiens,,,,,,,iPSCs,3-dimensional neuronal aggregates that resemble a first trimester telencephalon,iPSC-derived neuronal aggregates,neuronal aggregates (day 50) derived from induced pluripotent stem cells,Cerebral cortex,,,,,Control,39C for 24 hrs,,,,,,,,,,,,,SAMN02486492,SRX399549,6377,4667,SRR1061344,SRS519983,GSM1298382,202,PRJNA232603,GEO,public,0,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,2013-12-26,ILLUMINA,2014-06-02,SRP034737
